# points for Chang+2017 Fig. 3 (via Chihway Chang, priv. comm.)
#
# R                      DeltaSigma		  Uncertainty
# [h^-1 Mpc]		 [h^2 Msun pc^-2]	  [h^2 Msun pc^-2]
2.561951319146589245e-01 1.225913210636749398e+02 8.621679520155371534e+00
3.338412214451580984e-01 1.057998764545942691e+02 6.254959723818775963e+00
4.351517577479583898e-01 8.870837869212388682e+01 6.040820614953761769e+00
5.674170031739523834e-01 7.050621169884833250e+01 3.755604930489269577e+00
7.394357936250431917e-01 6.639991949928250392e+01 3.515651010071255911e+00
9.640007495877717103e-01 4.785802547227004311e+01 2.382706335851547230e+00
1.256783850008568404e+00 3.781011412908682701e+01 2.069041847119034383e+00
1.638001054670039869e+00 3.007965790275121876e+01 1.518457080608689225e+00
2.134860055140585633e+00 1.775367577733763014e+01 1.258281536863294026e+00
2.782034958384130174e+00 1.180215551482946168e+01 9.436418309902965262e-01
3.626385487360638482e+00 8.368899604512614943e+00 6.339495200895065574e-01
4.726357648369219788e+00 6.096905961366573479e+00 5.642366636360570675e-01
6.158689463778856954e+00 4.809874710543322607e+00 4.433920400550431240e-01
8.027141640321229232e+00 3.776721139471735711e+00 3.305035352978626939e-01
